control_id,framework,framework_version,part_number,part_title,section_number,section_title,subsection,paragraph,legal_reference,legal_requirement,requirement_id,control_title,control_description,plain_language_question,why_this_matters,implementation_guidance,expected_state,response_type,answer_options,required,applicability,applicability_question,role_scope,evidence_required,evidence_examples,evidence_strength,evidence_review_frequency,risk_category,default_risk_level,risk_rationale,remediation_guidance,suggested_task,suggested_task_priority,control_status,version,source_type,regulatory_status,notes
PDPA-027-004,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(1),,Section 27(1),A data controller and his representatives shall ensure that personal data is protected by such security safeguards as are reasonable in the circumstances necessary for the protection of personal data against unauthorised alteration.,REQ-027-1,Protection against unauthorised alteration,"Specific technical and organisational safeguards address the risk of unauthorised alteration of personal data, and their operation is evidenced.",Are you protected against personal data being changed by someone who is not authorised to change it?,Section 27(1) names unauthorised alteration as a distinct harm to protect against. Treating it separately makes it clear whether you actually have a control for it rather than a general assurance that security is handled.,"Enforce write permissions by role, keep tamper-evident change logs, and reconcile critical fields periodically. This control also supports the section 29(2) duty to preserve pre-amendment records.","Named safeguards addressing unauthorised alteration are implemented, owned, and evidenced by operating records rather than by policy text alone.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Access Control Procedure | Change and Audit Logs | Segregation of Duties Matrix,STRONG,QUARTERLY,SECURITY,HIGH,"DataGuard default risk classification: High. Unauthorised alteration is expressly named in section 27(1), is criminalised by section 61, and silently corrupts the accuracy duties in sections 5(d) and 24.","Identify the systems holding personal data, select proportionate safeguards against unauthorised alteration, assign an owner, and produce operating evidence.",Enforce and log write access controls over personal data,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"Section 27(1) lists negligent loss and unauthorised destruction, alteration, access and processing as separate harms. DataGuard maps each to its own control so that partial coverage is visible."
PDPA-027-005,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(1),,Section 27(1),A data controller and his representatives shall ensure that personal data is protected by such security safeguards as are reasonable in the circumstances necessary for the protection of personal data against unauthorised access.,REQ-027-1,Protection against unauthorised access,"Specific technical and organisational safeguards address the risk of unauthorised access of personal data, and their operation is evidenced.",Are you protected against people seeing personal data when they have no business reason to see it?,Section 27(1) names unauthorised access as a distinct harm to protect against. Treating it separately makes it clear whether you actually have a control for it rather than a general assurance that security is handled.,"Apply least privilege, review access periodically, enforce strong authentication, and log and monitor access to sensitive records.","Named safeguards addressing unauthorised access are implemented, owned, and evidenced by operating records rather than by policy text alone.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Access Control Procedure | Access Review Records | Authentication Policy | Access Logs,STRONG,QUARTERLY,SECURITY,CRITICAL,DataGuard default risk classification: Critical. Unauthorised access is expressly named in section 27(1) and is the precondition for most unlawful disclosure offences under section 60.,"Identify the systems holding personal data, select proportionate safeguards against unauthorised access, assign an owner, and produce operating evidence.",Implement least privilege and periodic access reviews for personal data,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"Section 27(1) lists negligent loss and unauthorised destruction, alteration, access and processing as separate harms. DataGuard maps each to its own control so that partial coverage is visible."
PDPA-027-006,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(1),,Section 27(1),A data controller and his representatives shall ensure that personal data is protected by such security safeguards as are reasonable in the circumstances necessary for the protection of personal data against unauthorised processing.,REQ-027-1,Protection against unauthorised processing,"Specific technical and organisational safeguards address the risk of unauthorised processing of personal data, and their operation is evidenced.",Are you protected against personal data being used or analysed in ways nobody has authorised?,Section 27(1) names unauthorised processing as a distinct harm to protect against. Treating it separately makes it clear whether you actually have a control for it rather than a general assurance that security is handled.,"Control which systems and jobs may read production personal data, restrict use of production data in test environments, and review analytics, extract and integration jobs against the recorded purposes.","Named safeguards addressing unauthorised processing are implemented, owned, and evidenced by operating records rather than by policy text alone.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Access Control Procedure | Data Flow Diagram | Test Data Management Policy | Integration Register,STRONG,QUARTERLY,SECURITY,HIGH,DataGuard default risk classification: High. Unauthorised processing is expressly named in section 27(1) and is where security failures and purpose limitation failures overlap.,"Identify the systems holding personal data, select proportionate safeguards against unauthorised processing, assign an owner, and produce operating evidence.",Control and review automated processing and extracts of personal data,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"Section 27(1) lists negligent loss and unauthorised destruction, alteration, access and processing as separate harms. DataGuard maps each to its own control so that partial coverage is visible."
PDPA-027-007,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(2),(a),Section 27(2)(a),Security measures shall ensure an appropriate level of security taking into account the state of technological advancement.,REQ-027-2A,State of technological advancement considered,The organisation demonstrably weighs this statutory factor when selecting and reviewing security measures.,"When you choose security measures, do you take account of what current technology makes possible - and revisit that as technology moves?",A measure that was appropriate five years ago may not be today. The Act builds this movement into the standard itself.,"Record the technology baseline assumed by your security design, and review it on a set cycle or when a material change occurs, such as a cryptographic algorithm being deprecated.","A documented technology review cycle for security measures, with the last review dated.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Security Architecture Review | Technology Refresh Plan | Risk Assessment,MODERATE,ANNUAL,SECURITY,MEDIUM,"DataGuard default risk classification: Medium. This is a factor the Act requires you to weigh rather than a standalone safeguard, but neglecting it makes the whole programme drift out of date.",Incorporate this factor explicitly into the security risk assessment methodology and record the outcome.,Establish a periodic technology review of security measures,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 27(2) requires that the appropriate level of security take these factors into account. DataGuard assesses each factor separately so that a gap in any one of them is visible.
PDPA-027-008,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(2),(a),Section 27(2)(a),Security measures shall ensure an appropriate level of security taking into account the cost of implementing the measures.,REQ-027-2A,Cost of implementation considered,The organisation demonstrably weighs this statutory factor when selecting and reviewing security measures.,"When you decide on security measures, do you record how you weighed their cost against the protection they give?",The Act expressly allows cost to be weighed. That works in your favour only if the reasoning is recorded at the time rather than argued after an incident.,"Where a measure is rejected or deferred on cost grounds, record the decision, the residual risk accepted, who accepted it, and when it will be revisited.",A risk acceptance record for each security measure deferred or rejected on cost grounds.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Risk Acceptance Record | Security Business Case | Risk Register,MODERATE,ANNUAL,SECURITY,MEDIUM,DataGuard default risk classification: Medium. Cost is an express statutory factor. Undocumented cost-based decisions are the ones that look like neglect after the event.,Incorporate this factor explicitly into the security risk assessment methodology and record the outcome.,Document cost and residual risk decisions for security measures,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 27(2) requires that the appropriate level of security take these factors into account. DataGuard assesses each factor separately so that a gap in any one of them is visible.
PDPA-027-009,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(2),(b),Section 27(2)(b),Security measures shall ensure an appropriate level of security taking into account the nature of the personal data to be protected.,REQ-027-2B,Nature of the personal data considered,The organisation demonstrably weighs this statutory factor when selecting and reviewing security measures.,Do you apply stronger protection to more sensitive categories of personal data than to routine data?,A single level of protection across everything either over-protects routine data or under-protects the data that would cause real harm if exposed.,"Classify personal data holdings, treating sensitive personal data as defined in section 3 as its own tier, and map the safeguards required at each tier.",A data classification scheme with safeguards mapped to each tier and applied in practice.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Data Classification Policy | Data Inventory with Classification | Security Policy,MODERATE,ANNUAL,SECURITY,HIGH,"DataGuard default risk classification: High. Sensitive personal data attracts specific statutory treatment under section 30, and failing to distinguish it undermines both duties at once.",Incorporate this factor explicitly into the security risk assessment methodology and record the outcome.,Classify personal data holdings and map safeguards to each classification tier,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 27(2) requires that the appropriate level of security take these factors into account. DataGuard assesses each factor separately so that a gap in any one of them is visible.
PDPA-027-010,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(2),(b),Section 27(2)(b),Security measures shall ensure an appropriate level of security taking into account the potential risks to the data subject.,REQ-027-2B,Potential risks to the data subject considered,The organisation demonstrably weighs this statutory factor when selecting and reviewing security measures.,"When you assess security risk, do you assess the harm to the individuals concerned, not just the harm to your organisation?",The Act asks about risk to the data subject. An incident that is minor for the business can be severe for the person whose data it is.,"Include a harm-to-individual dimension in the security risk assessment, covering identity theft, discrimination, physical safety and financial loss, and let it drive control selection.",Risk assessments record impact on data subjects as a distinct dimension from organisational impact.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Risk Assessment | Risk Assessment Methodology | Data Protection Impact Analysis,MODERATE,ANNUAL,SECURITY,HIGH,"DataGuard default risk classification: High. Risk to the data subject is an express statutory factor, and it is the dimension organisations most often omit from a security risk register.",Incorporate this factor explicitly into the security risk assessment methodology and record the outcome.,Add data subject harm as a distinct dimension of the security risk assessment,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,Section 27(2) requires that the appropriate level of security take these factors into account. DataGuard assesses each factor separately so that a gap in any one of them is visible.
PDPA-027-011,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(3),,Section 27(3),"The data controller and data processor, as the case may be, shall appoint a data protection officer.",REQ-027-3,Data protection officer appointed,A named individual has been formally appointed as data protection officer for the organisation in its capacity as controller or processor.,Have you formally appointed someone as your data protection officer?,"The Act requires an appointment. Naming a person informally is not the same thing, and the appointment is one of the first things a regulator will ask to see.","Issue a signed appointment letter identifying the individual, the effective date, the reporting line and the authority granted. Record the contact details and keep them current.","A signed, dated appointment letter is on file for a currently serving data protection officer.",DOCUMENT_REQUIRED,,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,DPO Appointment Letter | Board or Management Resolution | Organisation Chart,STRONG,ANNUAL,GOVERNANCE,CRITICAL,"DataGuard default risk classification: Critical. The appointment is mandatory for both controllers and processors, it is binary and easily verified, and its absence is a visible failure that undermines every other control.","Select a suitable individual, issue a signed appointment letter, and record the appointment in the compliance file.",Appoint a data protection officer and issue a signed appointment letter,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,"Section 64(2)(c) allows regulations to prescribe the functions of the data protection officer. The Act itself does not set qualifications, independence requirements, or whether the role may be shared across a group. A statement such as we have a DPO with no appointment document is WEAK evidence."
PDPA-027-012,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(3),,Section 27(3),The data protection officer shall ensure that the control and security measures are in place to protect the personal data collected or being processed.,REQ-027-3,Data protection officer verifies control and security measures,"The data protection officer actively verifies that control and security measures are in place, and reports on that verification.","Does your data protection officer actually check that the controls and security measures are working, and report on what they find?","Section 27(3) gives the officer a substantive job, not a title. A DPO with no mandate, no access and no reporting line cannot discharge it.","Define the officer verification programme - what is reviewed, how often, and to whom findings are reported. Retain the reports. Ensure the officer has access to systems and to senior management.",A documented DPO verification programme with dated reports to senior management.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,DPO Report | DPO Work Plan | Management Review Minutes | Audit Report,STRONG,QUARTERLY,GOVERNANCE,HIGH,DataGuard default risk classification: High. The statutory function is verification. An appointment without verification activity satisfies the form of section 27(3) but not its substance.,Agree a DPO work plan with defined review cycles and a standing reporting slot at management level.,Establish a DPO verification and reporting programme,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-027-013,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(4),,Section 27(4),Implementation of activities of the data processor shall be governed by a contract which associates the data processor to the data controller.,REQ-027-4,Written contract in place with every data processor,Every processor that handles personal data on the organisation behalf is engaged under a contract governing the implementation of its activities.,Is there a signed contract in place with every supplier or partner that handles personal data on your behalf?,Section 27(4) requires the relationship to be governed by a contract. Suppliers engaged on a purchase order or a handshake leave the obligation unmet.,"Maintain a processor inventory. For each processor, confirm a signed contract exists and covers the section 27(4) elements assessed at PDPA-027-014 and PDPA-027-015.","A processor inventory in which every entry is linked to a signed, in-force contract.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,CONDITIONAL,Does any third party process personal data on your behalf?,CONTROLLER,REQUIRED_BY_ACT,Processor Agreement | Data Processing Agreement | Processor Inventory | Signed Contract,STRONG,ANNUAL,THIRD_PARTY,CRITICAL,"DataGuard default risk classification: Critical. This is an express contractual requirement, it is binary, and an unpapered processor relationship is both a breach and an uncontrolled exposure.","Build the processor inventory, identify unpapered relationships, and put compliant contracts in place, prioritising those handling sensitive personal data.",Put a compliant written contract in place with every data processor,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-027-014,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(4),,Section 27(4),The contract shall be to the effect that the data processor acts under instructions of the data controller.,REQ-027-4,Contract requires the processor to act on controller instructions,"Each processor contract states that the processor acts under the instructions of the controller, and instructions are given and recorded in practice.","Does each processor contract say the processor must act on your instructions, and do you actually give and record those instructions?",This clause defines the boundary between processor and controller. Section 50(2)(b) makes a processor liable for damage where it acts contrary to the controller lawful instructions.,"Include an explicit instructions clause in every processor contract, and keep a record of documented instructions - the scope of processing, permitted sub-processing, and any change requests.","An instructions clause in every processor contract, supported by a record of documented instructions.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,CONDITIONAL,Does any third party process personal data on your behalf?,CONTROLLER,REQUIRED_BY_ACT,Processor Agreement | Documented Processing Instructions | Contract Clause Review,STRONG,ANNUAL,THIRD_PARTY,HIGH,"DataGuard default risk classification: High. Without a clear instructions boundary, responsibility for a processor failure is unclear, and section 50(2)(b) liability turns on exactly this point.","Add or strengthen the instructions clause at the next contract review, and start recording instructions.",Add a controller instructions clause to all processor contracts,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-027-015,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(4),,Section 27(4),The contract shall provide that the data processor is additionally responsible for ensuring compliance of the security standards as provided by this Act.,REQ-027-4,Processor contractually responsible for security standards,"Each processor contract makes the processor responsible for compliance with the security standards required by the Act, and that responsibility is monitored.","Does each processor contract make the processor responsible for meeting the security standards the Act requires, and do you check that they do?",Section 27(4) places security responsibility on the processor in addition to the controller. Outsourcing the work does not outsource the exposure.,"Include a security standards clause and a right to obtain assurance - certification, audit report or questionnaire. Record the assurance obtained for each processor and refresh it periodically.",A security clause in every processor contract plus current assurance evidence per processor.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,CONDITIONAL,Does any third party process personal data on your behalf?,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,Processor Agreement | Processor Security Assurance | Audit Report | Certification Evidence,STRONG,ANNUAL,THIRD_PARTY,CRITICAL,"DataGuard default risk classification: Critical. Processor security failures produce controller-level consequences, and section 27(5) requires the controller to notify breaches occurring on its behalf.","Add the security standards clause, then collect assurance evidence starting with processors handling sensitive personal data.",Obtain security assurance evidence from every data processor,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,"Section 64(2)(h) allows regulations to prescribe appropriate standards relating to security of information to be met by data controllers. Until those are made, the applicable standards are those derivable from sections 5(g) and 27."
PDPA-027-016,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(5),,Section 27(5),"The data controller shall notify the Commission, without any undue delay, of any security breach affecting personal data being processed by or on behalf of the data controller.",REQ-027-5,Security breach notification to the Commission without undue delay,A documented procedure ensures the Commission is notified without undue delay of any security breach affecting personal data processed by or on behalf of the organisation.,Do you have a procedure that notifies the Commission without undue delay whenever there is a security breach affecting personal data - including breaches at your suppliers?,"The duty covers breaches at your processors as well as your own systems, and the clock is described as without undue delay. A procedure written after the breach is already too late.","Document the notification procedure with named roles, a decision path, and contract terms obliging processors to alert you promptly. Rehearse it. The Act sets no fixed hour count, so any internal deadline you adopt is your own commitment.","An approved breach notification procedure, tested at least annually, with processor notification obligations in contracts.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,REQUIRED_BY_ACT,Incident Response Procedure | Breach Notification Log | Breach Response Test Record | Processor Agreement,STRONG,ANNUAL,BREACH_NOTIFICATION,CRITICAL,"DataGuard default risk classification: Critical. This is an express, time-bound duty owed directly to the regulator, and section 46(2)(g) treats how a failure came to the attention of the Commission as a factor in setting any penalty.","Write and approve the breach notification procedure, add processor alerting obligations to contracts, and run a tabletop exercise.",Implement and test a security breach notification procedure,CRITICAL,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,"OPEN_QUESTION: the Act does not define security breach, does not fix a period for without undue delay, does not prescribe the content or form of the notification, and does not require notification to affected data subjects. Do not import a 72-hour deadline or a data subject notification duty from another regime; neither appears in this Act."
PDPA-027-017,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",27,Security of personal data,27(5),,Section 27(5),The controller must be able to identify security breaches affecting personal data processed by or on behalf of the controller in order to notify the Commission without undue delay.,REQ-027-5,Breach detection capability,"Monitoring, logging and reporting channels exist that would actually surface a security breach, including one occurring at a processor.",Would you find out if personal data were breached - in your own systems and at your suppliers?,You cannot notify a breach you never detect. The notification duty is only meaningful if something is watching.,"Ensure logging and alerting on systems holding personal data, provide a staff reporting channel, and require processors to notify you promptly. Review whether the coverage matches where the data actually is.","Monitoring and reporting channels cover all systems holding personal data, and processor notification duties are in contracts.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER_AND_PROCESSOR,RECOMMENDED_BY_DATAGUARD,Monitoring and Alerting Configuration | Incident Reporting Channel | Processor Agreement | Incident Log,MODERATE,QUARTERLY,BREACH_NOTIFICATION,HIGH,"DataGuard default risk classification: High. Detection is the precondition for the section 27(5) duty. Undetected breaches also mean the failure reaches the Commission from another source, which section 46(2)(g) treats as relevant to penalty.","Map systems holding personal data against monitoring coverage and close the gaps, starting with the highest-sensitivity holdings.",Establish breach detection coverage across all systems holding personal data,HIGH,ACTIVE,1.0.0,ACT_DERIVED,NONE,"ACT_DERIVED. The Act imposes no express detection duty. This control is derived from the notification duty in section 27(5) read with the safeguards duty in section 27(1), and adds no new legal obligation."
PDPA-028-001,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",28,Retention and disposal of personal data,28(1),,Section 28(1),Personal data used for a specified purpose shall be retained for a period specified in the relevant laws or a period prescribed in the regulations.,REQ-028-1,Retention periods sourced from law or regulations,"For each category of personal data, the retention period is taken from the relevant written law or from regulations made under the Act, and the source is cited.","For each type of personal data you hold, have you identified the retention period set by the relevant law or regulations, and recorded where it comes from?",Section 28(1) points to periods fixed elsewhere in law rather than periods you choose. Citing the source is what makes the schedule defensible.,"Build the retention schedule with a citation column. Where no law or regulation fixes a period, record that fact explicitly rather than inventing a number, and justify the period against the purpose under section 5(e).","A retention schedule in which every record type has either a cited legal source or an explicit note that none was found, with a purpose-based justification.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER,REQUIRED_BY_ACT,Retention Schedule | Legal Retention Research Note | Data Processing Register,STRONG,ANNUAL,RETENTION,HIGH,DataGuard default risk classification: High. Retention is expressly regulated by section 28 and is one of the few duties where the correct answer is fixed externally rather than chosen by the organisation.,"Research the sectoral laws applying to each record type, then complete the citation column of the retention schedule.",Identify and cite the legal retention period for each personal data record type,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,"REGULATORY_DETAIL_PENDING. The Act itself prescribes no retention periods. Do not populate this control with invented periods. Where regulations under section 28(2) or 64(2)(j) are in force, they govern."
PDPA-028-002,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",28,Retention and disposal of personal data,28(1),,Section 28(1),Retention shall ensure that the data subject has a reasonable opportunity to access the personal data where need arises.,REQ-028-1,Retention supports the data subject opportunity to access,Retention arrangements are set so that a data subject retains a reasonable opportunity to access their personal data while it is held.,"While you hold personal data, can the person it is about still get access to it if they ask?","Section 28(1) ties the retention duty to access. Data held in a form nobody can retrieve - deep archive, unindexed backups - defeats the purpose the Act gives for keeping it.","Confirm that data held under the retention schedule remains retrievable for a section 33 access request throughout the retention period, including archived and backup copies.","Retrievability confirmed for every record type in the retention schedule, including archives.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER,RECOMMENDED_BY_DATAGUARD,Retention Schedule | Archive Retrieval Test Record | Data Subject Rights Procedure,MODERATE,ANNUAL,RETENTION,MEDIUM,"DataGuard default risk classification: Medium. Unretrievable retained data frustrates section 33 access rights, though it is less directly harmful than over- or under-retention.",Test retrieval from archive and backup for each retained record type and remediate where retrieval fails.,Test retrievability of archived personal data for access requests,MEDIUM,ACTIVE,1.0.0,ACT_EXPLICIT,NONE,
PDPA-028-003,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",28,Retention and disposal of personal data,28(1),,Section 28(1) read with section 5(e),"Retention is tied to the purpose for which the personal data is used under section 25, and section 5(e) requires storage in identifiable form for no longer than is necessary for that purpose.",REQ-028-1,Purpose-based retention decisions documented,Each retention decision records the purpose it serves and the reasoning behind the period chosen.,"For each type of personal data, have you written down why you keep it for as long as you do?","Where no law fixes a period, the purpose is what justifies the period. Recording the reasoning is the only way to show the decision was made rather than defaulted into.",Add purpose and rationale columns to the retention schedule. Have the data protection officer review and date the decisions.,"A retention schedule with a recorded purpose, rationale, decision owner and decision date per record type.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER,RECOMMENDED_BY_DATAGUARD,Retention Schedule | Retention Decision Record | DPO Approval Record,MODERATE,ANNUAL,RETENTION,MEDIUM,DataGuard default risk classification: Medium. Undocumented retention decisions are difficult to defend and tend to drift towards keeping everything forever.,Complete purpose and rationale columns for the retention schedule and have them approved.,Document the purpose and rationale behind each retention period,MEDIUM,ACTIVE,1.0.0,ACT_DERIVED,NONE,"ACT_DERIVED from sections 28(1), 25 and 5(e) read together. The requirement to document the reasoning is IMPLEMENTATION_GUIDANCE, not a statutory duty in its own terms."
PDPA-028-004,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",28,Retention and disposal of personal data,28(2),,Section 28(2) read with section 64(2)(j),The Minister may by regulations prescribe the retention and disposal of personal data held by a data controller in accordance with the purpose of retention. Section 64(2)(j) allows regulations prescribing procedures for retention and disposal of personal data held by data controllers.,REQ-028-2,Secure disposal at the end of the retention period,"Personal data is securely disposed of at the end of its retention period, following any procedure prescribed by regulations, and disposal is recorded.","When personal data reaches the end of its retention period, is it securely disposed of, and do you keep a record that this happened?","Disposal is the step that actually reduces risk. Without a record, you cannot show it happened, and data assumed deleted has a habit of resurfacing in backups.","Define disposal methods per medium - electronic, paper, portable media - and record each disposal event. Cover archives and backup copies. Check the current regulations for any prescribed procedure before finalising the method.","A documented disposal procedure covering all media, with a disposal log evidencing execution.",YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,true,UNIVERSAL,,CONTROLLER,RECOMMENDED_BY_DATAGUARD,Disposal Procedure | Disposal Log | Certificate of Destruction | Retention Schedule,STRONG,ANNUAL,RETENTION,HIGH,"DataGuard default risk classification: High. Data retained past its period is exposed for no lawful reason, and the absence of a disposal record makes over-retention indistinguishable from deliberate hoarding.","Write a disposal procedure covering every medium including backups, then start a disposal log.",Implement a secure disposal procedure and disposal log,HIGH,ACTIVE,1.0.0,ACT_EXPLICIT,REGULATORY_DETAIL_PENDING,"REGULATORY_DETAIL_PENDING. The disposal procedure is to be prescribed by regulations. Note the tension with section 29(2), which forbids permanent deletion of the pre-amendment record, and with section 59 preservation orders. Disposal must be sequenced around both."
PDPA-028-005,Personal Data Protection Act,2022,IV,"Collection, Use, Disclosure and Retention of Personal Data",28,Retention and disposal of personal data,28(2),,Section 28 read with section 64(2)(j),"The retention and disposal of personal data is to be carried out in accordance with the purpose of retention, as may be prescribed by regulations.",REQ-028-2,Periodic review of the retention schedule,The retention schedule is reviewed on a defined cycle and whenever a relevant law or regulation changes.,Do you review your retention schedule regularly and update it when the law changes?,"Retention periods are set outside the Act, in sectoral laws and in regulations still to be made. A schedule that is never revisited goes stale without anyone noticing.","Set an annual review with a named owner, and add a trigger for reviewing when regulations under section 28(2) or 64(2)(j) are made or amended.",A dated review record for the retention schedule with a named owner and a next-review date.,YES_PARTIAL_NO,Implemented | Partially implemented | Not implemented | Not applicable | I do not know,false,UNIVERSAL,,CONTROLLER,RECOMMENDED_BY_DATAGUARD,Retention Schedule Review Record | Compliance Calendar | Regulatory Change Log,MODERATE,ANNUAL,RETENTION,LOW,DataGuard default risk classification: Low. Review cadence is good practice that keeps the schedule current; the Act does not impose a review cycle.,Add the retention schedule review to the annual compliance calendar.,Schedule an annual review of the retention schedule,LOW,ACTIVE,1.0.0,IMPLEMENTATION_GUIDANCE,REGULATORY_DETAIL_PENDING,IMPLEMENTATION_GUIDANCE. The Act imposes no periodic review duty for retention schedules. This control exists so that the organisation notices when regulations are made.
